Edge, edge1, edge1, edge1, edge1, edge1, edge1, edge1, edge2, edge2, edge2, edge2, edge2, edge2, edge2, edge2
t13,0.963558185417193,,,,80.4798152788854,,,107.306420371847,1439.71231445541,14.4533727812579,-3.73635224723788,-10.7238939324293,,,
t14,0.98544972998846,,,,51.2255486853436,,,68.3007315804581,1433.95191878089,14.7817459498269,-5.1679865129758,-9.62326647150067,,,
t15,0.997494986604055,,,,21.459453342253,,,28.6126044563373,1464.11031618903,14.9624247990608,-6.54798396578528,-8.42648651301778,,,
t16,0.999573603041505,,,,-8.52105776508114,,,-11.3614103534415,1403.52337843001,14.9936040456226,-7.86255612728436,-7.14551188672292,,,
t17,0.991664810452468,,,,-38.416429279914,,,-51.221905706552,1401.50400243585,14.874972156787,-9.09856822697512,-5.79314166764813,,,
t18,0.973847630878195,,,,-67.9279565321649,,,-90.5706087095533,1458.50793708567,14.6077144631729,-10.2436704405287,-4.38288829198824,,,
t19,0.946300087687414,,,,-96.7607700967437,,,-129.014360128992,1440.17455260538,14.1945013153112,-11.2864212851478,-2.92884254530503,,,
t20,0.909297426825682,,,,-124.626782031374,,,-166.169042708499,1468.07741165544,13.6394614023852,-12.2164019390806,-1.44553277205578,,,
t21,0.863209366648874,,,,-151.247564356083,,,-201.663419141445,1455.43083515382,12.9481404997331,-13.0243203430437,0.0522202868222651,,,
t22,0.80849640381959,,,,-176.357131013545,,,-235.142841351393,1412.62274843452,12.1274460572939,-13.7021040434069,1.5494515778561,,,
t23,0.74570521217672,,,,-199.704595513836,,,-266.272794018448,1471.5475338816,11.1855781826508,-14.2429808494819,3.03120126090459,,,
t24,0.675463180551151,,,,-221.056677709315,,,-294.742236945753,1420.85461059985,10.1319477082673,-14.6415464990123,4.48266418293605,,,
t25,0.598472144103956,,,,-240.200034652745,,,-320.266712870327,1499.20377089151,8.97708216155934,-14.8938186557765,5.88933780622339,,,
t26,0.515501371821464,,,,-256.9433922495,,,-342.591189666,1427.58394972088,7.73252057732196,-14.9972766997739,7.23716711290719,,,
t27,0.42737988023383,,,,-271.119456405092,,,-361.492608540122,1485.79391005902,6.41069820350745,-14.9508869124279,8.5126850380882,,,
t28,0.334988150155905,,,,-282.58658457246,,,-376.78211276328,1431.79591080133,5.02482225233857,-14.7551128051589,9.70314702828819,,,
t29,0.239249329213982,,,,-291.230200997487,,,-388.306934663315,1428.22757630858,3.58873993820973,-14.4119104881327,10.7966583808155,,,
t30,0.141120008059867,,,,-296.963941522051,,,-395.951922029402,1468.67840143287,2.116800120898,-13.9247091254533,11.7822930917025,,,
t31,0.0415806624332905,,,,-299.730516506155,,,-399.640688674874,1414.40970962806,0.623709936499357,-13.2983766720892,12.6502030247254,,,
t32,-0.0583741434275801,,,,-299.502283247066,,,-399.336377662755,1400.74595949187,-0.875612151413701,-12.5391712348764,13.3917163107265,,,
t33,-0.157745694143249,,,,-296.281522176065,,,-395.042029568086,1423.50851380208,-2.36618541214873,-11.6546785435838,13.9994239940636,,,
t34,-0.255541102026832,,,,-290.10041407313,,,-386.800552097506,1457.21488317755,-3.83311653040248,-10.6537361568081,14.4672540604464,,,
t35,-0.35078322768962,,,,-281.020718527224,,,-374.694291369632,1427.65149455712,-5.2617484153443,-9.54634516001059,14.7905321064956,,,
t36,-0.442520443294852,,,,-269.133156854893,,,-358.844209139857,1493.11496086349,-6.63780664942279,-8.34357023797642,14.9660280448366,,,
t37,-0.529836140908493,,,,-254.556505642861,,,-339.408674190482,1488.35833531126,-7.9475421136274,-7.05742912014201,14.9919883780647,,,
t38,-0.611857890942719,,,,-237.43640997164,,,-316.581879962186,1470.64804687559,-9.17786836414079,-5.70077250341504,14.8681537191116,,,
t39,-0.687766159183974,,,,-217.943928178024,,,-290.591904237365,1447.23237279104,-10.3164923877596,-4.2871556522588,14.5957613829554,,,
t40,-0.756802495307928,,,,-196.273822696737,,,-261.698430262317,1455.77690282679,-11.3520374296189,-2.83070295897045,14.177533023778,,,
t41,-0.81827711106441,,,,-172.642614058565,,,-230.190152078087,1442.11373342289,-12.2741566659662,-1.34596681742205,13.6176474410963,,,
t42,-0.871575772413588,,,,-147.28641748878,,,-196.38188998504,1487.90814238148,-13.0736365862038,0.152217779648546,12.9216988265789,,,
t43,-0.916165936749455,,,,-120.458583721864,,,-160.611444962486,1400.82459942398,-13.7424890512418,1.64888146698141,12.0966408687321,,,
t44,-0.951602073889516,,,,-92.4271676047134,,,-123.236223472951,1476.67569730167,-14.2740311083427,3.12907007574393,11.1507172739428,,,
t45,-0.977530117665097,,,,-63.4722497812155,,,-84.629666374954,1482.41068534209,-14.6629517649765,4.5779940506427,10.0933793980892,,,
t46,-0.993691003633464,,,,-33.8831382190402,,,-45.177517625387,1400.35157135765,-14.905365054502,5.98117622227106,8.93519181171772,,,
t47,-0.999923257564101,,,,-3.95547754005638,,,-5.2739700534085,1489.11894989762,-14.9988488634615,7.32459645820048,7.68772674234518,,,
t48,-0.996164608835841,,,,26.0117049630004,,,34.6822732840005,1418.57929732281,-14.9424691325376,8.59483174750925,6.36344844858775,,,
t49,-0.982452612624332,,,,55.7189871083936,,,74.2919828111915,1458.83341763791,-14.736789189365,9.77919031907058,4.97558868140842,,,
t50,-0.958924274663139,,,,84.8695435528479,,,113.159391403797,1481.56245900484,-14.3838641199471,10.8658384535343,3.53801447683539,,,
t51,-0.925814682327732,,,,113.172111572263,,,150.896148763018,1470.40344953104,-13.887220234916,11.8439187219389,2.06508960112196,,,
t52,-0.883454655720153,,,,140.343901262575,,,187.125201683434,1493.72997209628,-13.2518198358023,12.7036584695529,0.571531032741939,,,
t53,-0.832267442223901,,,,166.113421082997,,,221.484561443996,1431.74267471527,-12.4840116333585,13.4364674610104,-0.927738084794175,,,
t54,-0.772764487555987,,,,190.223190509755,,,253.630920679673,1446.39981804833,-11.5914673133398,14.035023711103,-2.41773755005646,,,
t55,-0.705540325570392,,,,212.432312696365,,,283.243083595153,1449.90581063098,-10.5831048835559,14.4933466436363,-3.88357978091639,,,
t56,-0.631266637872322,,,,232.5188814353,,,310.025175247067,1441.86285460042,-9.46899956808482,14.8068568473699,-5.31061856634615,,,
t57,-0.550685542597638,,,,250.282198371457,,,333.709597828609,1427.57199601065,-8.26028313896456,14.9724218319807,-6.68459540651814,,,
t58,-0.464602179413757,,,,265.544778313781,,,354.059704418375,1457.14895910175,-6.96903269120636,14.9883873268709,-7.99178197902163,,,
t59,-0.373876664830236,,,,278.154122608628,,,370.872163478171,1403.26497586706,-5.60814997245354,14.8545938100932,-9.21911730772263,,,
t60,-0.279415498198926,,,,287.984242855898,,,383.97899047453,1445.76339031373,-4.19123247298389,14.572378102241,-10.3543382637199,,,
t61,-0.182162504272096,,,,294.936919743486,,,393.249226324648,1490.25519775112,-2.73243756408144,14.1445600093789,-11.3861020944752,,,
t62,-0.0830894028174964,,,,298.94268442218,,,398.59024589624,1418.74296828127,-1.24634104226245,13.575414148473,-12.3040997568475,,,
